block,plot,bg,location,plants,seeds,im tillers,diseased,notes
4,8,control,sub1,,13,,,
4,8,control,sub1,,5,,,
4,8,control,sub1,,11,,,
4,8,control,sub1,,12,,,
4,8,control,sub1,,6,,,
4,8,control,sub2,0,,,,
4,9,S_Phigh,sub1,1,10,,,
4,9,S_Phigh,sub2,5,4,,,
4,9,S_Phigh,sub2,,3,,,
4,9,S_Phigh,sub2,,7,,,
4,9,S_Phigh,sub2,,3,,,
4,9,S_Phigh,sub2,,2,,,
4,10,S_Phigh,sub1,2,8,,,
4,10,S_Phigh,sub1,,2,,,
4,10,S_Phigh,sub2,0,,,,
4,10,S_Phigh,full,7,7,,,
4,10,S_Phigh,full,,3,,,
4,10,S_Phigh,full,,10,,,
4,10,S_Phigh,full,,5,,,
5,2,A_low,sub1,17,4,,,
5,2,A_low,sub1,,4,,,
5,2,A_low,sub1,,5,,,
5,2,A_low,sub1,,3,,,
5,2,A_low,sub1,,3,,,
5,2,A_low,sub1,,8,,,
5,2,A_low,sub1,,5,,,
5,2,A_low,sub1,,4,,,
5,2,A_low,sub1,,5,,,
5,2,A_low,sub1,,6,,,
5,2,A_low,sub1,,2,,,
5,2,A_low,sub1,,2,,,
5,2,A_low,sub1,,2,,,
5,2,A_low,sub1,,4,,,
5,2,A_low,sub1,,2,,,
5,2,A_low,sub1,,2,,,
5,2,A_low,sub1,,0,1,,
5,2,A_low,sub2,4,2,,,
5,2,A_low,sub2,,3,,,
5,2,A_low,sub2,,2,,,
5,2,A_low,sub2,,10,,,
5,3,S_Phigh,sub1,9,8,,,
5,3,S_Phigh,sub1,,6,,,
5,3,S_Phigh,sub1,,0,1,,
5,3,S_Phigh,sub1,,7,,,
5,3,S_Phigh,sub1,,2,,,
5,3,S_Phigh,sub1,,1,,,
5,3,S_Phigh,sub1,,9,,,
5,3,S_Phigh,sub1,,3,,,
5,3,S_Phigh,sub1,,9,,,
5,3,S_Phigh,sub2,5,7,,,
5,3,S_Phigh,sub2,,7,,,
5,3,S_Phigh,sub2,,6,,,
5,3,S_Phigh,sub2,,4,,,
5,3,S_Phigh,sub2,,2,,,
5,4,S_Plow,sub1,4,1,,,
5,4,S_Plow,sub1,,1,,,
5,4,S_Plow,sub1,,3,,,
5,4,S_Plow,sub1,,2,,,
5,4,S_Plow,sub2,2,2,,,
5,4,S_Plow,sub2,,1,,,
5,6,control,sub1,4,5,,,
5,6,control,sub1,,7,,,
5,6,control,sub1,,13,,,
5,6,control,sub1,,9,,,
5,6,control,sub2,2,13,,,
5,6,control,sub2,,5,,,
5,7,A_high,sub1,47,3,,,
5,7,A_high,sub1,,3,,,
5,7,A_high,sub1,,2,,,
5,7,A_high,sub1,,2,,,
5,7,A_high,sub1,,4,,,
5,7,A_high,sub1,,2,,,
5,7,A_high,sub1,,1,,,
5,7,A_high,sub1,,6,,,
5,7,A_high,sub1,,2,,,
5,7,A_high,sub1,,3,1,1,
5,7,A_high,sub1,,2,,,
5,7,A_high,sub1,,0,1,,
5,7,A_high,sub1,,3,,,
5,7,A_high,sub1,,5,,,
5,7,A_high,sub1,,2,,,
5,7,A_high,sub2,68,4,,,
5,7,A_high,sub2,,3,,,
5,7,A_high,sub2,,4,,,
5,7,A_high,sub2,,5,,,
5,7,A_high,sub2,,6,,,
5,7,A_high,sub2,,1,,,
5,7,A_high,sub2,,2,,,
5,7,A_high,sub2,,2,,,
5,7,A_high,sub2,,4,,,
5,7,A_high,sub2,,6,,,
5,7,A_high,sub2,,3,,,
5,7,A_high,sub2,,3,1,,
5,7,A_high,sub2,,4,,,
5,7,A_high,sub2,,6,,,
5,7,A_high,sub2,,4,,,
5,8,control,sub1,3,2,,,
5,8,control,sub1,,5,,,
5,8,control,sub1,,7,,,
5,8,control,sub2,5,4,,,
5,8,control,sub2,,5,,,
5,8,control,sub2,,14,,,
5,8,control,sub2,,20,,,
5,8,control,sub2,,,,1,
5,9,S_Phigh,sub1,0,,,,
5,9,S_Phigh,sub2,0,,,,
5,9,S_Phigh,full,11,3,,,
5,9,S_Phigh,full,,8,,,
5,9,S_Phigh,full,,12,,,
5,9,S_Phigh,full,,10,,,
5,9,S_Phigh,full,,2,,,
5,10,S_Phigh,sub1,10,2,,,
5,10,S_Phigh,sub1,,2,,,
