block,plot,bg,Stipa  type,Stipa diam (cm),Stipa tillers,seeds/tiller,num ss with tillers,num tillers on ss,% weed gram ,% weed forb,notes
3,9,S_P high,med,,,,,,,,Dead
3,9,S_P high,med,,,,,,,,Dead
3,10,S_P high,big,20,50,18,,,25,10,* no phytometer
3,10,S_P high,big,9,27,,,,,,
3,10,S_P high,med,10,15,,,,,,
3,10,S_P high,med,15,54,,,,,,
3,10,S_P high,med,5,5,,,,,,
3,10,S_P high,med,9,18,,,,,,
3,10,S_P high,med,6,11,,,,,,
3,10,S_P high,med,5,5,,,,,,
3,10,S_P high,med,8,22,,,,,,
3,10,S_P high,med,6,14,,,,,,
3,10,S_P high,med,7,12,,,,,,
3,10,S_P high,med,,,,,,,,Dead
3,11,S_s low,* no phytometer,,,,,,,,* no phytometer
3,12,control,* no phytometer,,,,,,,,* no phytometer
4,1,A high,phyto,10,6,23,,,5,10,
4,2,S_s low,phyto,11,3,7,,,50,30,
4,3,S_s high,phyto,3,3,32,,,50,15,5 seeding littles
4,4,A low,phyto,7,0,0,,,50,50,chewed off tillers
4,5,S_P low,phyto,10,6,11,,,5,20,
4,5,S_P low,big,15,27,,,,,,
4,5,S_P low,med,11,9,,,,,,
4,5,S_P low,med,6,6,,,,,,
4,5,S_P low,med,7,3,,,,,,
4,5,S_P low,med,9,9,,,,,,
4,5,S_P low,med,6,4,,,,,,
4,6,S_P high,phyto,8,5,10,,,5,10,
4,6,S_P high,big,11,23,,,,,,
4,6,S_P high,big,12,11,,,,,,
4,6,S_P high,med,7,7,,,,,,
4,6,S_P high,med,7,10,,,,,,
4,6,S_P high,med,7,6,,,,,,
4,6,S_P high,med,6,7,,,,,,
4,6,S_P high,med,5,3,,,,,,
4,6,S_P high,med,10,2,,,,,,
4,6,S_P high,med,3,0,,,,,,
4,6,S_P high,med,8,4,,,,,,
4,6,S_P high,med,7,13,,,,,,
4,6,S_P high,med,9,12,,,,,,
4,7,control,phyto,10,20,12,,,15,30,
4,8,control,phyto,6,4,13,,,,,
4,9,S_P high,big,12,23,32,,,,,* no phytometer
4,9,S_P high,big,11,22,,,,,,
4,9,S_P high,med,6,2,,,,,,
4,9,S_P high,med,6,4,,,,,,
4,9,S_P high,med,7,13,,,,,,
4,9,S_P high,med,3,1,,,,,,
4,9,S_P high,med,10,17,,,,,,
4,9,S_P high,med,8,6,,,,,,
4,9,S_P high,med,9,32,,,,,,
4,9,S_P high,med,4,1,,,,,,
4,9,S_P high,med,5,1,,,,,,
4,9,S_P high,med,6,10,,,,,,
4,10,S_P high,big,13,34,21,,,,,* no phytometer
4,10,S_P high,big,12,34,,,,,,
4,10,S_P high,med,6,6,,,,,,
4,10,S_P high,med,5,11,,,,,,
4,10,S_P high,med,6,13,,,,,,
4,10,S_P high,med,5,4,,,,,,
4,10,S_P high,med,9,10,,,,,,
4,10,S_P high,med,4,6,,,,,,
4,10,S_P high,med,10,26,,,,,,
4,10,S_P high,med,7,11,,,,,,
4,10,S_P high,med,6,7,,,,,,
4,10,S_P high,med,9,16,,,,,,
4,11,control,,,,,,,,,* no phytometer
4,12,S_s low,,,,,,,,,* no phytometer
5,1,S_s high,phyto,8,7,17,3,6,15,15,
5,2,A low,phyto,10,12,32,,,25,25,
5,3,S_P high,phyto,7,4,16,,,15,10,
5,3,S_P high,big,8,15,,,,,,
5,3,S_P high,big,9,23,,,,,,
5,3,S_P high,med,11,5,,,,,,
5,3,S_P high,med,6,0,,,,,,
5,3,S_P high,med,7,11,,,,,,
5,3,S_P high,med,5,3,,,,,,
5,3,S_P high,med,9,8,,,,,,
5,3,S_P high,med,7,6,,,,,,
5,3,S_P high,med,10,12,,,,,,
5,3,S_P high,med,7,9,,,,,,
5,3,S_P high,med,5,1,,,,,,
5,3,S_P high,med,5,7,,,,,,
5,4,S_P low,phyto,8,0,,,,5,10,
5,4,S_P low,big,14,8,22,,,,,
5,4,S_P low,med,8,2,,,,,,
5,4,S_P low,med,7,3,,,,,,
5,4,S_P low,med,8,3,,,,,,
5,4,S_P low,med,6,1,,,,,,
5,4,S_P low,med,,,,,,,,Dead
5,5,S_s low,phyto,10,5,19,3,6,25,15,
5,6,control,phyto,11,7,27,,,15,10,
5,7,A high,phyto,6,2,6,,,2,15,
5,8,control,phyto,5,1,7,,,5,25,
5,9,S_P high,big,17,41,28,,,1,15,* no phytometer
5,9,S_P high,big,13,10,,,,,,
5,9,S_P high,med,10,9,,,,,,
5,9,S_P high,med,10,12,,,,,,
5,9,S_P high,med,8,6,,,,,,
5,9,S_P high,med,8,12,,,,,,
5,9,S_P high,med,6,3,,,,,,
5,9,S_P high,med,11,14,,,,,,
5,9,S_P high,med,8,17,,,,,,
5,9,S_P high,med,12,20,,,,,,
5,9,S_P high,med,8,12,,,,,,
5,9,S_P high,med,7,10,,,,,,
5,10,S_P high,big,19,6,20,,,0,20,* no phytometer
5,10,S_P high,big,21,17,,,,,,
5,10,S_P high,med,11,3,,,,,,
5,10,S_P high,med,13,11,,,,,,
5,10,S_P high,med,4,0,,,,,,
5,10,S_P high,med,12,11,,,,,,
5,10,S_P high,med,11,3,,,,,,
5,10,S_P high,med,10,10,,,,,,
5,10,S_P high,med,15,6,,,,,,
5,10,S_P high,med,12,1,,,,,,
5,10,S_P high,med,11,10,,,,,,
5,10,S_P high,med,14,12,,,,,,
5,11,S_s low,,,,,,,,,* no phytometer
5,12,control,,,,,,,,,* no phytometer
6,1,A low,phyto,11,7,21,,,10,10,
6,2,A high,phyto,10,10,22,,,5,40,
6,3,S_s low,phyto,7,12,15,8,20,20,20,
6,4,control,phyto,7,8,23,,,10,10,
6,5,S_s high,phyto,8,20,19,6,28,20,10,
6,6,S_P low,phyto,11,31,27,,,5,10,
6,6,S_P low,big,20,89,,,,,,
6,6,S_P low,med,9,16,,,,,,
6,6,S_P low,med,8,17,,,,,,
6,6,S_P low,med,8,12,,,,,,
6,6,S_P low,med,9,14,,,,,,
6,6,S_P low,med,,,,,,,,Dead
