block,plot,bg,Stipa  type,Stipa diam (cm),Stipa tillers,seeds/tiller,num ss with tillers,num tillers on ss,% weed gram ,% weed forb,notes
13,3,S_P low,big,15,19,,,,,,
13,3,S_P low,med,14,6,,,,,,
13,3,S_P low,med,5,1,,,,,,
13,3,S_P low,med,10,4,,,,,,
13,3,S_P low,med,7,10,,,,,,
13,3,S_P low,med,9,9,,,,,,
13,4,control,phyto,9,4,,,,0,30,
13,5,A low,phyto,8,8,,,,0,15,
13,6,S_P high,phyto,7,21,,,,0,5,
13,6,S_P high,big,12,11,,,,,,
13,6,S_P high,big,15,30,,,,,,
13,6,S_P high,med,9,23,,,,,,
13,6,S_P high,med,8,12,,,,,,
13,6,S_P high,med,6,3,,,,,,
13,6,S_P high,med,5,6,,,,,,
13,6,S_P high,med,4,5,,,,,,
13,6,S_P high,med,5,5,,,,,,
13,6,S_P high,med,6,1,,,,,,
13,6,S_P high,med,4,6,,,,,,
13,6,S_P high,med,7,11,,,,,,
13,6,S_P high,med,,,,,,,,Dead
13,7,A high,phyto,7,8,,,,0,10,
13,8,S_s low,phyto,17,32,,1,5,10,50,
13,9,S_P high,big,20,73,,,,2,10,* no phytometer
13,9,S_P high,big,17,81,,,,,,
13,9,S_P high,med,5,20,,,,,,
13,9,S_P high,med,3,3,,,,,,
13,9,S_P high,med,14,53,,,,,,
13,9,S_P high,med,4,3,,,,,,
13,9,S_P high,med,6,16,,,,,,
13,9,S_P high,med,11,27,,,,,,
13,9,S_P high,med,8,27,,,,,,
13,9,S_P high,med,11,25,,,,,,
13,9,S_P high,med,8,21,,,,,,
13,9,S_P high,med,9,0,,,,,,
13,10,S_P high,big,13,33,,,,0,15,* no phytometer
13,10,S_P high,big,13,43,,,,,,
13,10,S_P high,med,6,12,,,,,,
13,10,S_P high,med,10,10,,,,,,
13,10,S_P high,med,10,12,,,,,,
13,10,S_P high,med,7,9,,,,,,
13,10,S_P high,med,8,14,,,,,,
13,10,S_P high,med,10,15,,,,,,
13,10,S_P high,med,10,22,,,,,,
13,10,S_P high,med,7,18,,,,,,
13,10,S_P high,med,11,19,,,,,,
13,10,S_P high,med,7,13,,,,,,
13,11,S_s high,,,,,,,,,* no phytometer
13,12,control,,,,,,,,,* no phytometer
14,1,S_P high,phyto,9,21,,,,0,10,
14,1,S_P high,big,13,72,,,,,,
14,1,S_P high,big,14,109,,,,,,
14,1,S_P high,med,13,66,,,,,,
14,1,S_P high,med,7,24,,,,,,
14,1,S_P high,med,8,32,,,,,,
14,1,S_P high,med,7,27,,,,,,
14,1,S_P high,med,6,23,,,,,,
14,1,S_P high,med,7,24,,,,,,
14,1,S_P high,med,11,38,,,,,,
14,1,S_P high,med,,,,,,,,Dead
14,1,S_P high,med,,,,,,,,Dead
14,1,S_P high,med,,,,,,,,Dead
14,2,A low,phyto,13,34,,,,0,60,
14,3,S_P low,phyto,6,7,,,,5,20,
14,3,S_P low,big,20,85,,,,,,
14,3,S_P low,med,8,13,,,,,,
14,3,S_P low,med,7,23,,,,,,
14,3,S_P low,med,7,19,,,,,,
14,3,S_P low,med,12,49,,,,,,
14,3,S_P low,med,7,11,,,,,,
14,4,S_s low,phyto,,,,3,9,20,80,Dead
14,5,A high,phyto,12,15,,,,0,20,
14,6,control,phyto,17,56,,,,0,40,
14,7,control,phyto,10,37,,,,2,40,
14,8,S_s high,phyto,9,21,,9,22,15,25,
14,9,S_P high,big,11,29,,,,3,5,* no phytometer
14,9,S_P high,big,9,14,,,,,,
14,9,S_P high,med,11,20,,,,,,
14,9,S_P high,med,11,25,,,,,,
14,9,S_P high,med,6,4,,,,,,
14,9,S_P high,med,8,7,,,,,,
14,9,S_P high,med,1,0,,,,,,
14,9,S_P high,med,9,17,,,,,,
14,9,S_P high,med,6,0,,,,,,
14,9,S_P high,med,7,9,,,,,,
14,9,S_P high,med,6,3,,,,,,
14,9,S_P high,med,,,,,,,,Dead
14,10,S_P high,big,14,30,,,,1,10,* no phytometer
14,10,S_P high,big,8,13,,,,,,
14,10,S_P high,med,4,3,,,,,,
14,10,S_P high,med,4,4,,,,,,
14,10,S_P high,med,9,11,,,,,,
14,10,S_P high,med,4,2,,,,,,
14,10,S_P high,med,6,6,,,,,,
14,10,S_P high,med,8,16,,,,,,
14,10,S_P high,med,6,9,,,,,,
14,10,S_P high,med,7,7,,,,,,
14,10,S_P high,med,5,5,,,,,,
14,10,S_P high,med,8,15,,,,,,
14,11,control,* no phytometer,,,,,,,,One plot further downhill
14,12,S_s high,* no phytometer,,,,,,,,1/2 m gap between 11 and 12
15,1,control,phyto,12,18,,,,5,10,
15,2,S_s low,phyto,7,5,,,,0,15,
15,3,S_P low,phyto,5,2,,,,3,10,
15,3,S_P low,big,16,61,,,,,,
15,3,S_P low,med,7,13,,,,,,
15,3,S_P low,med,9,16,,,,,,
15,3,S_P low,med,7,10,,,,,,
15,3,S_P low,med,8,29,,,,,,
15,3,S_P low,med,5,5,,,,,,
15,4,A low,phyto,8,8,,1,4,5,15,
15,5,control,phyto,11,10,,,,2,40,
15,6,A high,phyto,12,7,,,,0,15,
15,7,S_P high,phyto,9,8,,,,0,5,
15,7,S_P high,big,15,32,,,,,,
15,7,S_P high,big,16,58,,,,,,
15,7,S_P high,med,9,12,,,,,,
15,7,S_P high,med,10,12,,,,,,
15,7,S_P high,med,11,29,,,,,,
15,7,S_P high,med,4,2,,,,,,
15,7,S_P high,med,9,17,,,,,,
15,7,S_P high,med,7,9,,,,,,
15,7,S_P high,med,9,7,,,,,,
15,7,S_P high,med,8,13,,,,,,
15,7,S_P high,med,7,9,,,,,,
15,7,S_P high,med,9,5,,,,,,
15,8,S_s high,phyto,11,19,,3,3,5,15,
15,9,S_P high,big,11,15,,,,0,15,* no phytometer
15,9,S_P high,big,10,17,,,,,,
15,9,S_P high,med,11,11,,,,,,
15,9,S_P high,med,9,15,,,,,,
15,9,S_P high,med,6,2,,,,,,
15,9,S_P high,med,8,6,,,,,,
15,9,S_P high,med,10,10,,,,,,
15,9,S_P high,med,7,9,,,,,,
15,9,S_P high,med,7,16,,,,,,
15,9,S_P high,med,6,6,,,,,,
15,9,S_P high,med,5,16,,,,,,
15,9,S_P high,med,,,,,,,,Dead
15,10,S_P high,big,9,16,,,,0,5,* no phytometer
15,10,S_P high,big,14,46,,,,,,
15,10,S_P high,med,7,16,,,,,,
15,10,S_P high,med,6,9,,,,,,
15,10,S_P high,med,5,5,,,,,,
15,10,S_P high,med,3,3,,,,,,
15,10,S_P high,med,6,1,,,,,,
15,10,S_P high,med,9,18,,,,,,
15,10,S_P high,med,5,2,,,,,,
15,10,S_P high,med,6,11,,,,,,
15,10,S_P high,med,5,2,,,,,,
15,10,S_P high,med,3,5,,,,,,
15,11,control,* no phytometer,,,,,,,,
15,12,S_s high,* no phytometer,,,,,,,,
16,1,S_s high,phyto,11,14,,8,17,15,20,
16,2,control,phyto,7,1,,,,5,10,
16,3,S_P high,phyto,6,5,,,,5,5,
16,3,S_P high,big,3,28,,,,,,
16,3,S_P high,big,10,9,,,,,,
16,3,S_P high,med,5,3,,,,,,
16,3,S_P high,med,7,7,,,,,,
16,3,S_P high,med,5,4,,,,,,
16,3,S_P high,med,5,4,,,,,,
16,3,S_P high,med,6,9,,,,,,
16,3,S_P high,med,4,2,,,,,,
16,3,S_P high,med,6,1,,,,,,
16,3,S_P high,med,7,6,,,,,,
16,3,S_P high,med,7,13,,,,,,
16,3,S_P high,med,6,3,,,,,,
16,4,S_P low,phyto,7,5,,,,5,10,
16,4,S_P low,big,11,8,,,,,,
16,4,S_P low,med,6,2,,,,,,
16,4,S_P low,med,7,8,,,,,,
16,4,S_P low,med,6,5,,,,,,
16,4,S_P low,med,7,8,,,,,,
16,4,S_P low,med,,,,,,,,Dead
16,5,S_s low,phyto,6,7,,3,9,10,5,
16,6,A high,phyto,7,4,,,,0,10,
16,7,A low,phyto,13,11,,,,3,10,
16,8,control,phyto,9,7,,3,8,10,5,
16,9,S_P high,big,18,26,,,,20,20,
16,9,S_P high,big,16,20,,,,,,
16,9,S_P high,med,3,2,,,,,,
16,9,S_P high,med,8,8,,,,,,
16,9,S_P high,med,5,1,,,,,,
16,9,S_P high,med,9,11,,,,,,
16,9,S_P high,med,13,19,,,,,,
16,9,S_P high,med,9,6,,,,,,
16,9,S_P high,med,7,10,,,,,,
16,9,S_P high,med,7,8,,,,,,
16,9,S_P high,med,11,14,,,,,,
16,9,S_P high,med,9,8,,,,,,
16,10,S_P high,big,13,20,,,,5,5,
16,10,S_P high,big,16,23,,,,,,
16,10,S_P high,med,12,25,,,,,,
16,10,S_P high,med,9,9,,,,,,
16,10,S_P high,med,9,8,,,,,,
16,10,S_P high,med,9,14,,,,,,
16,10,S_P high,med,9,1,,,,,,
16,10,S_P high,med,6,6,,,,,,
16,10,S_P high,med,8,7,,,,,,
16,10,S_P high,med,9,10,,,,,,
16,10,S_P high,med,10,19,,,,,,
16,10,S_P high,med,9,24,,,,,,
16,11,control,,,,,,,,,Extra plots in different location
16,12,S_s high,,,,,,,,,Ss closer to rest of the plots
